CustomerID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
15655658,1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,0
15753591,1,26.75,1.125,2,14,8,1.25,1,0,0,0,2,0,5299,1
15617348,1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,1,0
15704581,1,23.75,0.415,1,8,4,0.04,0,1,2,0,2,128,7,0
15738487,0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1,1
15648069,0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0
15737627,1,16.17,0.04,2,8,4,0.04,0,0,0,0,2,0,1,1
15731586,0,29.5,2,1,10,8,2,0,0,0,0,2,256,18,0
15757467,0,52.83,15,2,8,4,5.5,1,1,14,0,2,0,2201,1
15597709,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0
15720529,1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0
15596797,1,28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0
15681755,1,19,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0
15815271,1,27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0
15682860,1,27.83,1.5,2,9,4,2,1,1,11,1,2,434,36,1
15621546,1,40,6.5,2,6,5,3.5,1,1,1,0,2,0,501,1
15705918,0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0
15684512,1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,1
15671769,1,56.75,12.25,2,7,4,1.25,1,1,4,1,2,200,1,1
15642934,1,43.17,5,2,3,5,2.25,0,0,0,1,2,141,1,0
15594305,0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,5,0
15789201,1,18.5,2,2,3,4,1.5,1,1,2,0,2,120,301,1
15706762,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
15766183,0,24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1
15777994,1,42,9.79,2,14,8,7.96,1,1,8,0,2,0,1,1
15568162,0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0
15680643,1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,0
15761854,1,31.25,2.835,2,1,1,0,0,1,5,0,2,176,147,0
15730793,1,27.25,1.585,2,13,8,1.835,1,1,12,1,2,583,714,1
15692137,1,48.75,26.335,1,1,1,0,1,0,0,1,2,0,1,0
15608595,0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,0
15709459,1,29.42,1.25,2,9,4,1.75,0,0,0,0,2,200,1,0
15775750,1,28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,8,1
15585855,1,40.25,21.5,2,10,9,20,1,1,11,0,2,0,1201,1
15752139,1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,51,0
15768295,1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0
15766906,1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,1,0
15725776,1,23.08,0,2,4,4,1,0,1,11,0,1,0,1,0
15682576,0,32.17,1.46,2,9,4,1.085,1,1,16,0,2,120,2080,1
15704081,1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1
15719940,0,35.17,3.75,2,1,1,0,0,1,6,0,2,0,201,0
15672894,0,18.58,10,2,2,4,0.415,0,0,0,0,2,80,43,0
15667451,1,39.92,5,2,3,5,0.21,0,0,0,0,2,550,1,0
15636767,1,23.42,1,2,8,4,0.5,0,0,0,1,1,280,1,0
15571415,1,37.58,0,2,8,4,0,0,0,0,0,3,184,1,1
15575605,0,24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,0
15649160,0,47,13,2,3,5,5.165,1,1,9,1,2,0,1,1
15615832,1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,1
15600975,1,22.17,0.585,1,1,1,0,0,0,0,0,2,100,1,0
15690772,1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0
15565714,1,42.75,4.085,2,6,4,0.04,0,0,0,0,2,108,101,0
15763108,1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0
15723884,1,36.25,5,2,8,5,2.5,1,1,6,0,2,0,368,1
15644453,0,18.17,10,1,11,8,0.165,0,0,0,0,2,340,1,0
15655464,1,21.25,1.5,2,9,4,1.5,0,0,0,0,2,150,9,1
15783883,0,38.92,1.665,2,6,4,0.25,0,0,0,0,2,0,391,0
15787693,1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0
15664793,0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,11,0
15642391,0,20.42,0.835,2,11,4,1.585,1,1,1,0,2,0,1,1
15756538,0,39.08,4,2,8,4,3,0,0,0,0,2,480,1,0
15668830,1,38.67,0.21,2,4,4,0.085,1,0,0,1,2,280,1,1
15796569,1,27.67,13.75,2,9,4,5.75,1,0,0,1,2,487,501,1
15677112,1,27.75,0.585,1,13,4,0.25,1,1,2,0,2,260,501,1
15815040,1,19,0,1,1,1,0,0,1,4,0,2,45,2,0
15590434,0,25,0.875,2,14,8,1.04,1,0,0,1,2,160,5861,1
15597536,1,27.67,2,2,14,8,1,1,1,4,0,2,140,7545,1
15723989,1,22.25,9,2,6,4,0.085,0,0,0,0,2,0,1,0
15767358,0,49.83,13.585,2,4,8,8.5,1,0,0,1,2,0,1,1
15594812,1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0
15688210,1,38.25,10.125,1,4,4,0.125,0,0,0,0,2,160,1,0
15681509,1,47.33,6.5,2,8,4,1,0,0,0,1,2,0,229,0
15572390,1,27.83,4,1,3,8,5.75,1,1,2,1,2,75,1,0
15801441,0,35.75,0.915,2,6,4,0.75,1,1,4,0,2,0,1584,1
15783859,1,33.58,0.25,2,3,5,4,0,0,0,1,1,420,1,0
15575243,1,34.08,0.08,1,7,5,0.04,1,1,1,1,2,280,2001,1
15773421,0,20.75,10.335,2,13,8,0.335,1,1,1,1,2,80,51,1
15788776,1,33.17,1,2,14,4,0.75,1,1,7,1,2,340,4072,1
15765257,1,22.75,11,2,11,4,2.5,1,1,7,1,2,100,810,1
15661412,1,48.75,8.5,2,8,8,12.5,1,1,9,0,2,181,1656,1
15636478,1,40.58,5,2,8,4,5,1,1,7,0,2,0,3066,1
15603683,1,20.67,0.835,1,8,4,2,0,0,0,1,1,240,1,0
15651868,0,38.75,1.5,2,1,1,0,0,0,0,0,2,76,1,0
15815443,0,57.08,19.5,2,8,4,5.5,1,1,7,0,2,0,3001,1
15682686,0,31.25,3.75,2,13,8,0.625,1,1,9,1,2,181,1,1
15697460,1,22,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0
15748432,0,58.33,10,2,11,4,4,1,1,14,0,2,0,1603,1
15698271,1,28.92,0.375,2,8,4,0.29,0,0,0,0,2,220,141,0
15808662,0,46,4,2,5,3,0,1,0,0,0,2,100,961,1
15690372,1,21,3,1,2,4,1.085,1,1,8,1,2,160,2,1
15781875,0,24.75,12.5,2,6,4,1.5,1,1,12,1,2,120,568,1
15801473,0,20.83,0.5,1,10,2,1,0,0,0,0,2,260,1,0
15704509,1,24.58,13.5,1,1,1,0,0,0,0,0,2,184,1,0
15694666,0,26.5,2.71,1,8,4,0.085,0,0,0,0,1,80,1,0
15731166,1,40.92,0.835,2,1,1,0,1,0,0,0,2,130,2,0
15728523,0,38.33,4.415,2,8,4,0.125,0,0,0,0,2,160,1,0
15788442,1,19.58,0.585,2,1,1,0,0,1,3,0,2,350,770,0
15689781,1,39.25,9.5,2,7,4,6.5,1,1,14,0,2,240,4608,1
15764226,1,25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1
15809837,0,46.08,3,2,8,4,2.375,1,1,8,1,2,396,4160,1
15805212,1,19.67,10,1,4,8,0.835,1,0,0,1,2,140,1,0
15716082,0,22.25,1.25,1,1,1,3.25,0,0,0,0,2,280,1,0
15643056,1,18.83,3.54,1,1,1,0,0,0,0,1,2,180,2,0
15654859,1,64.08,20,2,14,8,17.5,1,1,9,1,2,0,1001,1
15761158,0,16.5,1.25,2,11,4,0.25,0,1,1,0,2,108,99,0
15577515,0,68.67,15,2,10,9,0,1,1,14,0,2,0,3377,1
15723827,1,76.75,22.29,2,10,9,12.75,1,1,1,1,2,0,110,1
15646594,0,15.92,2.875,2,11,4,0.085,0,0,0,0,2,120,1,0
15712877,1,34.83,4,2,2,5,12.5,1,0,0,1,2,184,1,0
15598802,0,47.42,8,2,10,5,6.5,1,1,6,0,2,375,51101,1
15699340,1,23.17,0,2,8,4,0,0,0,0,0,3,184,1,1
15691150,1,45.17,1.5,2,8,4,2.5,1,0,0,1,2,140,1,0
15608688,1,15.17,7,2,10,4,1,0,0,0,0,2,600,1,0
15737998,1,18.83,0.415,1,8,4,0.165,0,1,1,0,2,200,2,0
15735837,1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,1
15659100,1,19.17,0,1,7,5,0,0,0,0,1,1,500,2,1
15609070,1,18,0.165,2,11,7,0.21,0,0,0,0,2,200,41,1
15650313,1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,6,0
15627699,1,22.67,1.585,1,9,4,3.085,1,1,6,0,2,80,1,1
15591010,1,47.83,4.165,2,14,5,0.085,0,0,0,1,2,520,1,0
15798895,1,34.08,2.5,2,8,4,1,0,0,0,0,2,460,17,0
15745375,0,33.08,1.625,2,2,4,0.54,0,0,0,1,2,0,1,0
15775235,1,43.08,0.375,1,8,4,0.375,1,1,8,1,2,300,163,1
15780088,1,34.5,4.04,1,3,5,8.5,1,1,7,1,2,195,1,1
15649379,1,42.75,3,2,3,5,1,1,0,0,0,2,0,201,0
15713983,1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,0
15709252,1,23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0
15699238,0,22.5,8.46,1,14,4,2.46,0,0,0,0,2,164,1,1
15732884,1,17.92,0.205,2,6,4,0.04,0,0,0,0,2,280,751,0
15587297,1,18.42,10.415,1,6,4,0.125,1,0,0,0,2,120,376,0
15684722,0,27.67,1.5,2,7,4,2,1,0,0,0,1,368,1,0
15621244,0,18.92,9.25,1,8,4,1,1,1,4,1,2,80,501,1
15744273,1,22.67,0.75,2,3,4,1.585,0,1,1,1,2,400,10,0
15682540,1,62.5,12.75,1,8,8,5,1,0,0,0,2,112,1,0
15636521,0,23.5,9,2,11,4,8.5,1,1,5,1,2,120,1,1
15785339,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0
15638983,0,56.83,4.25,1,1,1,5,0,0,0,1,2,0,5,0
15654625,0,53.33,0.165,2,1,1,0,0,0,0,1,1,62,28,0
15697310,1,41.17,4.04,2,13,8,7,1,1,8,0,2,320,1,1
15678210,1,42.17,5.04,2,11,8,12.75,1,0,0,1,2,92,1,1
15575438,1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,0
15632789,0,33.75,0.75,2,4,5,1,1,1,3,1,2,212,1,0
15621423,1,25.67,12.5,2,13,4,1.21,1,1,67,1,2,140,259,1
15573520,1,24.33,6.625,1,2,4,5.5,1,0,0,1,1,100,1,1
15740458,1,23.33,11.625,1,9,4,0.835,1,0,0,1,2,160,301,1
15762799,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0
15686885,1,37.17,4,2,8,5,5,1,0,0,1,1,280,1,0
15565996,1,26.25,1.54,2,9,4,0.125,0,0,0,0,2,100,1,0
15662152,0,29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0
15711742,0,23,1.835,2,5,3,0,0,1,1,0,2,200,54,0
15701885,1,17.25,3,2,4,4,0.04,0,0,0,1,2,160,41,0
15774262,1,29.25,14.79,2,6,4,5.04,1,1,5,1,2,168,1,1
15567839,0,28.58,3.54,2,3,5,0.5,1,0,0,1,2,171,1,0
15644400,1,34.58,0,2,8,4,0,0,0,0,0,3,184,1,0
15797246,1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,0
15778290,1,25,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,1
15708714,0,18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1
15586183,1,17.08,0.25,2,11,4,0.335,0,1,4,0,2,160,9,0
15761733,0,16.08,0.335,2,1,1,0,0,1,1,0,2,160,127,0
15773934,1,32.92,2.5,2,6,4,1.75,0,1,2,1,2,720,1,0
15705343,0,20.33,10,2,8,8,1,1,1,4,0,2,50,1466,1
15593959,0,21.75,1.75,1,5,3,0,0,0,0,0,2,160,1,0
15664615,1,33.17,1.04,2,12,8,6.5,1,0,0,1,2,164,31286,1
15671014,0,25.33,2.085,2,8,8,2.75,1,0,0,1,2,360,2,0
15657778,0,24.75,3,2,11,8,1.835,1,1,19,0,2,0,501,1
15585192,1,30.83,0,2,9,4,1.25,1,1,1,0,2,202,1,1
15592914,1,20.75,5.085,1,5,4,0.29,0,0,0,0,2,140,185,0
15770995,0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,19,0
15570990,1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0
15596165,1,40.92,0.5,1,7,4,0.5,0,0,0,1,2,130,1,0
15788131,0,29.5,0.46,2,4,4,0.54,1,1,4,0,2,380,501,1
15800773,1,54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,1
15690153,1,34,5.5,1,8,4,1.5,0,0,0,1,2,60,1,0
15638989,1,25,12,2,4,4,2.25,1,1,2,1,2,120,6,0
15623210,0,26.58,2.54,1,1,1,0,0,0,0,1,2,180,61,0
15652658,0,33.08,4.625,2,11,8,1.625,1,1,2,0,2,0,1,1
15684440,1,33.67,2.165,2,8,4,1.5,0,0,0,0,3,120,1,0
15730287,1,36.17,5.5,2,3,5,5,0,0,0,0,2,210,688,0
15720353,1,19.5,0.29,2,4,4,0.29,0,0,0,0,2,280,365,0
15767231,1,24.17,0.875,2,11,4,4.625,1,1,2,1,2,520,2001,1
15761554,0,30.5,6.5,2,8,5,4,1,1,7,1,2,0,3066,1
15706637,1,20,7,2,8,4,0.5,0,0,0,0,2,0,1,0
15690492,1,25.33,0.58,2,8,4,0.29,1,1,7,1,2,96,5125,1
15694237,1,29.58,4.75,2,7,4,2,0,1,1,1,2,460,69,0
15729771,1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,1,0
15609823,1,28.75,1.165,2,4,4,0.5,1,0,0,0,1,280,1,0
15793366,1,31.57,3,1,3,5,7,0,0,0,0,2,0,2,0
15614813,1,20.25,9.96,2,10,2,0,1,0,0,0,2,0,1,1
15566495,1,45,8.5,2,13,8,14,1,1,1,1,2,88,2001,1
15707602,0,22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,1
15635244,0,20.67,3,2,11,4,0.165,1,1,3,0,2,100,7,1
15805627,1,27.83,1.5,2,9,4,2.25,0,1,1,1,2,100,4,0
15607986,1,40.92,2.25,1,14,8,10,1,0,0,1,2,176,1,0
15799785,1,56.42,28,1,8,4,28.5,1,1,40,0,2,0,16,1
15699963,0,64.08,0.165,2,1,1,0,1,1,1,0,2,232,101,1
15624595,0,22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,1
15629750,0,24.33,2.5,1,3,5,4.5,0,0,0,0,2,200,457,0
15651460,0,69.5,6,2,1,1,0,0,0,0,0,1,0,1,0
15753550,1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,1,0
15594133,1,48.33,12,2,7,4,16,1,0,0,0,1,110,1,1
15772329,0,28.08,15,1,10,9,0,1,0,0,0,2,0,13213,1
15591552,1,35.17,2.5,2,4,4,4.5,1,1,7,0,2,150,1271,1
15750921,1,49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,1
15701687,1,80.25,5.5,2,8,4,0.54,1,0,0,0,2,0,341,0
15728906,1,29.25,13,2,2,8,0.5,0,0,0,0,2,228,1,0
15670029,0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0
15763579,0,16,0.165,2,6,4,1,0,1,2,1,2,320,2,0
15728010,1,60.08,14.5,2,1,1,18,1,1,15,1,2,0,1001,1
15663194,1,28,2,2,4,8,4.165,1,1,2,1,2,181,1,1
15736510,1,41.5,1.54,2,3,5,3.5,0,0,0,0,2,216,1,1
15745804,1,24.08,9,2,6,4,0.25,0,0,0,1,2,0,1,0
15631451,1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0
15746995,1,34.75,15,2,12,7,5.375,1,1,9,1,2,0,135,1
15730673,1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,1,0
15734649,0,40.83,10,2,11,8,1.75,1,0,0,0,2,29,838,1
15701081,1,20.42,1.835,2,8,4,2.25,1,1,1,0,2,100,151,1
15632503,1,37.5,1.125,1,2,4,1.5,0,0,0,1,2,431,1,1
15585928,1,48.5,4.25,2,7,4,0.125,1,0,0,1,2,225,1,1
15648681,1,23,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0
15747757,1,35,3.375,2,8,8,8.29,0,0,0,1,2,0,1,0
15718921,1,16.33,2.75,2,6,4,0.665,0,1,1,0,2,80,22,0
15571081,1,22.67,10.5,2,11,8,1.335,1,0,0,0,2,100,1,1
15734578,0,21.75,11.75,2,8,4,0.25,0,0,0,1,2,180,1,0
15579583,0,25.08,2.54,1,6,4,0.25,1,0,0,1,2,370,1,1
15622729,1,36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,1
15662189,0,28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,0
15692718,1,22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,0
15762716,1,34.17,1.54,2,13,4,1.54,1,1,1,1,2,520,50001,1
15724851,1,35,2.5,2,3,4,1,0,0,0,1,2,210,1,0
15587266,1,28.58,3.625,2,6,4,0.25,0,0,0,1,2,100,1,0
15675926,0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,0
15706268,1,23.25,1,2,8,4,0.835,1,0,0,0,1,300,1,1
15581871,1,16.5,0.125,2,8,4,0.165,0,0,0,0,2,132,1,0
15666166,0,20.08,0.125,2,11,4,1,0,1,1,0,2,240,769,1
15671582,1,22.33,11,2,9,4,2,1,1,1,0,2,80,279,1
15680901,1,34,5.085,1,3,5,1.085,0,0,0,1,2,480,1,0
15642336,0,57.08,0.335,2,3,5,1,1,0,0,1,2,252,2198,0
15653147,1,16.25,0.835,2,7,4,0.085,1,0,0,0,1,200,1,0
15571284,1,32.83,2.5,2,13,8,2.75,1,1,6,0,2,160,2073,1
15591360,1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,1
15810485,1,34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,201,0
15611973,1,18.33,1.21,1,10,2,0,0,0,0,0,2,100,1,0
15735572,1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,0
15567860,1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0
15795690,1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,0
15706464,1,25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,21,1
15725028,1,65.42,11,2,10,9,20,1,1,7,1,2,22,1,1
15751167,1,41.33,0,2,8,5,15,1,0,0,0,2,0,1,1
15633944,1,31.25,1.125,2,1,1,0,0,1,1,0,2,96,20,0
15672637,0,36.75,4.71,2,1,1,0,0,0,0,0,2,160,1,0
15680895,1,32.33,7.5,2,10,5,1.585,1,0,0,1,1,420,1,0
15793825,0,31.92,3.125,2,1,1,3.04,0,1,2,1,2,200,5,0
15611318,1,24.83,2.75,2,8,4,2.25,1,1,6,0,2,184,601,1
15768474,1,21.92,0.54,1,14,4,0.04,1,1,1,1,2,840,60,1
15716276,1,34.25,3,2,13,8,7.415,1,0,0,1,2,0,1,1
15623668,1,51.83,3,1,1,1,1.5,0,0,0,0,2,180,5,0
15696361,0,31.57,1.5,2,1,1,0,0,1,2,1,2,200,106,0
15607988,1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,0
15637891,1,39.17,1.71,2,14,4,0.125,1,1,5,1,2,480,1,1
15789865,1,18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,588,0
15627190,1,39,5,2,13,4,3.5,1,1,10,1,2,0,1,1
15788224,1,20,11.045,2,8,4,2,0,0,0,1,2,136,1,0
15702149,1,32.75,2.335,2,2,8,5.75,0,0,0,1,2,292,1,0
15708236,1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0
15568469,0,15.83,7.625,2,11,4,0.125,0,1,1,1,2,0,161,0
15764444,1,39.33,5.875,2,13,8,10,1,1,14,1,2,399,1,1
15794204,0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,6,0
15807546,1,21.33,10.5,2,8,4,3,1,0,0,1,2,0,1,1
15782159,0,22.67,0.75,2,8,4,2,0,1,2,1,2,200,395,0
15618703,1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,22,0
15793317,1,21.08,10.085,1,10,8,1.25,0,0,0,0,2,260,1,0
15740487,0,49,1.5,2,5,3,0,1,0,0,1,2,100,28,0
15722479,1,20.67,5.29,2,11,4,0.375,1,1,1,0,2,160,1,0
15688264,0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,100,1
15583067,1,21.83,0.25,2,2,8,0.665,1,0,0,1,2,0,1,1
15686670,1,26.83,0.54,2,4,1,0,0,0,0,0,2,100,1,0
15593345,0,38.58,5,2,13,4,13.5,1,0,0,1,2,980,1,0
15811690,0,50.08,12.54,2,6,4,2.29,1,1,3,1,2,156,1,1
15734008,0,15.75,0.375,2,8,4,1,0,0,0,0,2,120,19,0
15771856,0,24.5,12.75,2,8,5,4.75,1,1,2,0,2,73,445,1
15762045,1,21,4.79,1,9,4,2.25,1,1,1,1,2,80,301,1
15778142,1,22.08,11,2,13,4,0.665,1,0,0,0,2,100,1,1
15689268,1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,1
15721507,1,18.08,5.5,2,4,4,0.5,1,0,0,0,2,80,1,1
15750476,1,36.67,4.415,1,4,4,0.25,1,1,10,1,2,320,1,1
15810723,1,38.17,10.125,2,14,4,2.5,1,1,6,0,2,520,197,1
15787229,1,21.83,1.54,2,4,4,0.085,0,0,0,1,2,356,1,0
15570508,0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,0
15617065,1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,11,0
15689786,1,52.42,1.5,2,2,4,3.75,0,0,0,1,2,0,351,0
15648876,0,60.92,5,2,6,4,4,1,1,4,0,2,0,100,1
15802106,1,20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1,1
15773869,1,23.25,4,2,8,5,0.25,1,0,0,1,2,160,1,1
15711635,1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,0
15795527,0,42.25,1.75,1,8,4,0,0,0,0,1,2,150,2,0
15759133,1,23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,0
15679394,0,36,1,2,8,4,2,1,1,11,0,2,0,457,1
15801072,1,39.58,5,2,1,1,0,0,1,2,0,2,17,2,0
15646082,0,18.83,4.415,1,8,8,3,1,0,0,0,2,240,1,1
15796111,1,27.25,0.625,2,6,4,0.455,1,0,0,1,2,200,1,0
15670646,1,32.42,3,2,2,4,0.165,0,0,0,1,2,120,1,0
15578722,1,19.42,1.5,1,13,4,2,1,0,0,1,2,100,21,0
15815095,0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,1
15730360,1,39.92,6.21,2,11,4,0.04,1,1,1,0,2,200,301,1
15763194,1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1
15720725,0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,401,1
15567834,0,30,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1
15720644,0,40.33,7.54,1,11,8,8,1,1,14,0,2,0,2301,1
15811742,0,36.75,5.125,2,10,4,5,1,0,0,1,2,0,4001,1
15813363,1,31,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0
15717629,0,25.17,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1
15713160,1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,1,0
15568878,1,31.57,4,2,14,4,5,1,1,3,1,2,290,2280,1
15809800,1,34.08,6.5,2,6,4,0.125,1,0,0,1,2,443,1,0
15736420,1,22.08,2.335,2,4,4,0.75,0,0,0,0,2,180,1,0
15757933,1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0
