age-over30,sex,region,income-over40,married,children,car,mortgage,class
TRUE,FEMALE,RURAL,TRUE,NO,NO,YES,YES,NO
FALSE,MALE,INNER_CITY,FALSE,NO,NO,NO,YES,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,YES,NO
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,NO,NO,NO
FALSE,MALE,SUBURBAN,FALSE,NO,YES,NO,NO,NO
TRUE,MALE,TOWN,TRUE,YES,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
TRUE,FEMALE,SUBURBAN,FALSE,YES,NO,YES,YES,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,YES,YES
FALSE,FEMALE,RURAL,FALSE,YES,YES,YES,NO,NO
FALSE,MALE,TOWN,FALSE,NO,NO,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,YES,YES,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,NO,NO
TRUE,FEMALE,SUBURBAN,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,SUBURBAN,FALSE,YES,NO,NO,NO,YES
TRUE,MALE,TOWN,FALSE,NO,YES,YES,NO,NO
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,NO,YES,NO
TRUE,FEMALE,INNER_CITY,FALSE,YES,NO,YES,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,YES,YES,NO,NO
TRUE,FEMALE,TOWN,FALSE,NO,NO,NO,NO,YES
TRUE,FEMALE,TOWN,FALSE,NO,YES,YES,YES,YES
TRUE,FEMALE,TOWN,FALSE,YES,YES,NO,YES,NO
TRUE,MALE,RURAL,FALSE,NO,YES,NO,NO,YES
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,YES,NO
TRUE,MALE,TOWN,FALSE,YES,YES,NO,YES,NO
TRUE,MALE,TOWN,TRUE,NO,YES,YES,NO,YES
TRUE,MALE,RURAL,FALSE,YES,YES,NO,YES,NO
TRUE,MALE,INNER_CITY,TRUE,NO,YES,YES,NO,YES
TRUE,MALE,RURAL,FALSE,NO,NO,NO,YES,NO
FALSE,MALE,RURAL,FALSE,YES,NO,YES,NO,NO
FALSE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,NO,YES
TRUE,FEMALE,INNER_CITY,TRUE,YES,NO,YES,YES,NO
TRUE,FEMALE,TOWN,FALSE,YES,NO,NO,YES,NO
FALSE,MALE,RURAL,FALSE,YES,YES,NO,NO,YES
FALSE,FEMALE,TOWN,FALSE,YES,YES,NO,NO,NO
FALSE,MALE,INNER_CITY,FALSE,YES,YES,NO,NO,YES
TRUE,FEMALE,INNER_CITY,FALSE,YES,YES,YES,YES,YES
TRUE,FEMALE,TOWN,FALSE,NO,YES,YES,NO,YES
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,YES,YES
TRUE,MALE,INNER_CITY,TRUE,NO,NO,NO,NO,YES
TRUE,FEMALE,RURAL,TRUE,YES,YES,NO,NO,NO
TRUE,MALE,INNER_CITY,FALSE,YES,NO,NO,YES,YES
TRUE,MALE,TOWN,TRUE,NO,YES,YES,YES,YES
TRUE,MALE,INNER_CITY,TRUE,NO,NO,NO,NO,YES
TRUE,FEMALE,TOWN,TRUE,NO,NO,NO,YES,NO
TRUE,FEMALE,TOWN,FALSE,YES,NO,YES,NO,YES
