infants,water,budget,physician,elsalvador,schools,satellite,contras,missile,immigration,synfuels,education,superfund,crime,dutyfree,southafrica,class
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,ABSTAIN,NO,NO,NO,YES,Democrat
YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,ABSTAIN,Democrat
YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,Republican
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,Republican
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,Democrat
NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,Democrat
NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,Democrat
NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,Democrat
YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,ABSTAIN,YES,YES,YES,NO,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,ABSTAIN,YES,YES,NO,ABSTAIN,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,ABSTAIN,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Democrat
YES,NO,YES,NO,YES,YES,NO,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,Democrat
NO,NO,ABSTAIN,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Democrat
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,Democrat
YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,YES,YES,YES,NO,NO,Republican
YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,Democrat
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,Democrat
YES,NO,YES,NO,YES,YES,YES,NO,ABSTAIN,NO,YES,NO,YES,YES,YES,ABSTAIN,Democrat
YES,NO,NO,NO,YES,YES,ABSTAIN,NO,ABSTAIN,NO,NO,NO,NO,YES,ABSTAIN,NO,Democrat
ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,YES,YES,NO,ABSTAIN,Democrat
YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,Republican
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,ABSTAIN,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,ABSTAIN,ABSTAIN,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,ABSTAIN,YES,Republican
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,Republican
YES,ABSTAIN,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,Democrat
NO,ABSTAIN,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,Democrat
ABSTAIN,ABSTAIN,YES,NO,NO,NO,YES,YES,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Democrat
YES,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,Republican
NO,ABSTAIN,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,Republican
NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,ABSTAIN,YES,Republican
NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,Republican
ABSTAIN,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,Democrat
NO,ABSTAIN,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,ABSTAIN,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
YES,YES,ABSTAIN,YES,YES,YES,NO,NO,YES,NO,YES,ABSTAIN,YES,YES,NO,NO,Democrat
NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
YES,YES,NO,YES,YES,YES,NO,ABSTAIN,NO,NO,YES,YES,YES,YES,NO,NO,Republican
YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,Republican
NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
NO,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,YES,YES,NO,NO,ABSTAIN,NO,ABSTAIN,Democrat
NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,Democrat
NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,Democrat
NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,Democrat
NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,Democrat
NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,ABSTAIN,Democrat
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,Republican
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,Republican
NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,Democrat
YES,NO,YES,NO,NO,NO,ABSTAIN,YES,YES,ABSTAIN,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,ABSTAIN,NO,YES,YES,Democrat
NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,NO,YES,YES,Democrat
ABSTAIN,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
ABSTAIN,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,ABSTAIN,ABSTAIN,NO,NO,NO,ABSTAIN,ABSTAIN,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,ABSTAIN,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
YES,ABSTAIN,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,Republican
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,YES,NO,YES,YES,YES,NO,ABSTAIN,NO,YES,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,ABSTAIN,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,ABSTAIN,Democrat
NO,ABSTAIN,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,ABSTAIN,NO,YES,ABSTAIN,Democrat
YES,YES,NO,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,Democrat
NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,Republican
YES,ABSTAIN,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,ABSTAIN,NO,NO,YES,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Democrat
NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,Democrat
NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,Democrat
YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,ABSTAIN,Democrat
YES,YES,YES,NO,YES,YES,NO,NO,ABSTAIN,YES,NO,NO,NO,YES,YES,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,Republican
YES,ABSTAIN,YES,NO,NO,NO,YES,YES,YES,NO,ABSTAIN,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,Democrat
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,ABSTAIN,YES,YES,NO,NO,Republican
NO,ABSTAIN,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,Democrat
YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,ABSTAIN,YES,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,Republican
NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,Republican
NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,Republican
NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,ABSTAIN,Democrat
NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,Republican
NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,ABSTAIN,Democrat
NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,Republican
NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,Democrat
YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,Democrat
YES,YES,YES,NO,NO,NO,YES,YES,ABSTAIN,YES,NO,NO,NO,NO,YES,ABSTAIN,Democrat
NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,Republican
NO,NO,NO,YES,NO,YES,YES,ABSTAIN,YES,NO,NO,YES,YES,YES,NO,YES,Republican
